iteration,timesteps,winrate,games,games_won,avg_reward
1,10000,0.4693140794223827,277,130,
1,20000,0.48194945848375453,554,267,
1,30000,0.5006002400960384,833,417,
1,40000,0.5072072072072072,1110,563,
1,50000,0.5043227665706052,1388,700,
1,60000,0.5083932853717026,1668,848,
1,70000,0.5061664953751285,1946,985,
1,80000,0.5112309074573226,2226,1138,
1,90000,0.5075818036711891,2506,1272,
1,100000,0.5066427289048474,2785,1411,
2,10000,0.506993006993007,286,145,
2,20000,0.5176056338028169,568,294,
2,30000,0.508274231678487,846,430,
2,40000,0.5115248226950354,1128,577,
2,50000,0.5071022727272727,1408,714,
2,60000,0.5008880994671403,1689,846,
2,70000,0.5035569105691057,1968,991,
2,80000,0.49977787649933364,2251,1125,
2,90000,0.49960505529225907,2532,1265,
2,100000,0.49786628733997157,2812,1400,
3,10000,0.48936170212765956,282,138,
3,20000,0.47703180212014135,566,270,
3,30000,0.4806110458284371,851,409,
3,40000,0.4763572679509632,1142,544,
3,50000,0.4909090909090909,1430,702,
3,60000,0.4894982497082847,1714,839,
3,70000,0.48477284073889165,2003,971,
3,80000,0.48712352684417287,2291,1116,
3,90000,0.48623497479643274,2579,1254,
3,100000,0.48920612813370473,2872,1405,
3,110000,0.484819734345351,3162,1533,
3,120000,0.48218940052128584,3453,1665,
3,130000,0.4838364947902752,3743,1811,
3,140000,0.48538156590683845,4036,1959,
3,150000,0.4860438292964245,4335,2107,
3,160000,0.48975188781014023,4635,2270,
3,170000,0.4917866558507402,4931,2425,
3,180000,0.49503058103975534,5232,2590,
3,190000,0.4928610157238388,5533,2727,
3,200000,0.49365786767226605,5834,2880,
3,210000,0.4923427826653633,6138,3022,
3,220000,0.4920708955223881,6432,3165,
3,230000,0.49197622585438333,6730,3311,
3,240000,0.49259681093394075,7024,3460,
3,250000,0.49118972817921047,7321,3596,
3,260000,0.48909043112513145,7608,3721,
3,270000,0.48923778171689036,7898,3864,
3,280000,0.4876648754274548,8188,3993,
3,290000,0.487379098844067,8478,4132,
3,300000,0.48756559434177504,8766,4274,
3,310000,0.4887907233572612,9055,4426,
3,320000,0.4877944325481799,9340,4556,
3,330000,0.4884179910667913,9627,4702,
3,340000,0.48779011099899094,9910,4834,
3,350000,0.487742694646009,10198,4974,
3,360000,0.48711832061068705,10480,5105,
3,370000,0.48754878275413494,10762,5247,
3,380000,0.4882331643736423,11048,5394,
3,390000,0.487819947043248,11330,5527,
3,400000,0.48802962452635207,11612,5667,
3,410000,0.4880201765447667,11895,5805,
3,420000,0.48788898924378027,12179,5942,
3,430000,0.4887676508344031,12464,6092,
3,440000,0.4883520276100086,12749,6226,
3,450000,0.48933722000613683,13036,6379,
3,460000,0.4896748516933243,13317,6521,
3,470000,0.4899264705882353,13600,6663,
3,480000,0.489812081503348,13889,6803,
3,490000,0.48994708994708996,14175,6945,
3,500000,0.48993845515524515,14461,7085,
3,510000,0.490505899905059,14746,7233,
3,520000,0.4895230492915586,15033,7359,
3,530000,0.48981723237597913,15320,7504,
3,540000,0.4902299955154078,15609,7652,
3,550000,0.49044025157232707,15900,7798,
3,560000,0.49083050324174127,16195,7949,
3,570000,0.4909675072744908,16496,8099,
3,580000,0.4902918403811793,16790,8232,
3,590000,0.4898425150752298,17081,8367,
3,600000,0.48961031485638634,17373,8506,
3,610000,0.48870520296665343,17663,8632,
3,620000,0.48869458676765426,17956,8775,
3,630000,0.4886014905743095,18248,8916,
3,640000,0.48797584384772996,18546,9050,
3,650000,0.4875822542984504,18844,9188,
3,660000,0.4868634108122225,19145,9321,
3,670000,0.48665466700951404,19445,9463,
3,680000,0.48652482269503544,19740,9604,
3,690000,0.4873458792991564,20033,9763,
3,700000,0.48735609564105087,20326,9906,
3,710000,0.4869556784017069,20622,10042,
3,720000,0.48706917156651847,20919,10189,
3,730000,0.48691839909489465,21213,10329,
3,740000,0.48693630869363086,21510,10474,
3,750000,0.48709248475400063,21809,10623,
3,760000,0.4874903859204633,22103,10775,
3,770000,0.4876328243593178,22398,10922,
3,780000,0.4876662849088186,22702,11071,
3,790000,0.4880243425342317,23005,11227,
3,800000,0.48811872694518316,23314,11380,
3,810000,0.4886950630874757,23618,11542,
3,820000,0.4884420850227814,23923,11685,
3,830000,0.48896042259914985,24231,11848,
3,840000,0.48913619501854794,24531,11999,
3,850000,0.48904903776471537,24838,12147,
3,860000,0.48888358588871655,25143,12292,
3,870000,0.488762278978389,25450,12439,
3,880000,0.4884298804162137,25756,12580,
3,890000,0.48877633245078855,26061,12738,
