iteration,timesteps,winrate,games,games_won,avg_reward
6,770000,0.5828920570264766,27005,15741,3.3289995
6,780000,0.5835496252970207,27355,15963,3.3328803
6,790000,0.5833573903002309,27712,16166,3.3285666
6,800000,0.583125489916625,28066,16366,3.3187354
6,810000,0.5830606284527957,28419,16570,3.3207898
6,820000,0.5825283202446313,28778,16764,3.3179452
6,830000,0.5826698695950583,29140,16979,3.318175
6,840000,0.5830706125631377,29499,17200,3.3234863
6,850000,0.5830542531815137,29860,17410,3.323112
6,860000,0.5832892124420913,30220,17627,3.3296041
6,870000,0.5828700372817058,30578,17823,3.323701
6,880000,0.5828054298642534,30940,18032,3.319335
6,890000,0.5827128934334558,31295,18236,3.3170354
6,900000,0.5823116784630941,31648,18429,3.31136
6,910000,0.5825,32000,18640,3.3157036
6,920000,0.5828440763858846,32362,18862,3.3214087
6,930000,0.5827857077360393,32717,19067,3.321702
6,940000,0.5828545509525249,33070,19275,3.3256104
6,950000,0.5828248384781048,33432,19485,3.3255033
6,960000,0.5829041614870064,33786,19694,3.32695
6,970000,0.5832405834456095,34142,19913,3.3278964
6,980000,0.5838525516561857,34507,20147,3.3325684
6,990000,0.5841794298170138,34866,20368,3.3370001
6,1000000,0.5842983651226158,35232,20586,3.3428888
7,10000,0.5184135977337111,353,183,0.44176146
7,20000,0.5221745350500715,699,365,0.716046
7,30000,0.5344995140913509,1029,550,1.2622567
7,40000,0.5370506236243581,1363,732,1.3828928
7,50000,0.5473808122424956,1699,930,1.573616
7,60000,0.5560493827160494,2025,1126,1.7358203
7,70000,0.553011026293469,2358,1304,1.9189647
7,80000,0.5517113095238095,2688,1483,2.0599184
7,90000,0.5509121061359867,3015,1661,2.184738
7,100000,0.5498652291105122,3339,1836,2.3313663
7,110000,0.5499181669394435,3666,2016,2.4388814
7,120000,0.5506265664160401,3990,2197,2.491602
7,130000,0.55068429598701,4311,2374,2.5344548
7,140000,0.5518878101402374,4635,2558,2.613444
7,150000,0.5525785656728445,4964,2743,2.6913157
7,160000,0.5535815535815536,5291,2929,2.738809
7,170000,0.5520555258942872,5619,3102,2.7750444
7,180000,0.5544904137235116,5946,3297,2.807435
7,190000,0.5580172138986292,6274,3501,2.8686433
7,200000,0.5564137513251552,6603,3674,2.903711
7,210000,0.5572706289671091,6932,3863,2.9324772
7,220000,0.5574380165289257,7260,4047,2.9950821
7,230000,0.5586025049439683,7585,4237,3.036775
7,240000,0.5593327435865032,7913,4426,3.0744188
